sent_time,iha_enlem,iha_boylam,iha_irtifa,iha_dikilme,iha_yonelme,iha_yatis
14:14:17.223000,41.5126457,36.1187134,54.284,-6.847775,16.0,-3.745718
14:14:18.294000,41.51272,36.11875,54.187,-6.39571047,16.0,13.8772783
14:14:19.263000,41.51281,36.11884,52.774,-8.100856,32.0,30.5371265
14:14:20.330000,41.51286,36.11897,51.676,-6.21339226,51.0,30.158947
14:14:21.459000,41.5128746,36.11913,51.291,-4.76220751,69.0,23.8412724
14:14:22.478000,41.5128479,36.11935,50.653,-5.488225,86.0,14.2269039
14:14:22.538000,41.51281,36.11949,50.529,-5.33728933,90.0,6.961262
14:14:23.606000,41.5127678,36.1196327,50.332,-6.289819,93.0,3.89742923
14:14:24.680000,41.512722,36.11978,50.285,-6.03055763,93.0,-1.1372577
14:14:25.742000,41.51266,36.1199875,51.62,-5.566644,96.0,-2.45337367
14:14:26.811000,41.5126152,36.12014,52.476,-6.59864855,91.0,-5.87995052
14:14:27.892000,41.5125732,36.1202965,52.848,-7.608559,89.0,-4.360575
14:14:28.965000,41.51254,36.1204338,52.698,-5.97468233,88.0,38.181385
14:14:31.597000,41.5121651,36.1207237,48.84,-3.275373,164.0,40.2922974
14:14:32.679000,41.5119858,36.12069,47.783,-4.326548,188.0,26.0195484
14:14:34.450000,41.5116,36.120472,47.267,-3.38570666,206.0,1.57871592
14:14:35.522000,41.5114479,36.1203728,47.4,-2.836751,208.0,-2.71216321
14:14:36.617000,41.51127,36.12023,47.239,-1.390593,212.0,44.0407829
14:14:36.660000,41.51118,36.12008,46.588,-2.05433726,245.0,44.75679
14:14:37.728000,41.5111465,36.11989,46.691,0.0562228635,271.0,40.8136024
14:14:38.501000,41.511158,36.1197128,46.57,-0.9236205,291.0,32.85473
14:14:41.050000,41.5112762,36.1194,46.355,-1.41362607,318.0,6.29675
14:14:41.130000,41.51136,36.1192436,46.823,-1.527892,320.0,-3.53582025
14:14:42.103000,41.5114365,36.1191025,48.105,-2.586743,320.0,-3.36831045
14:14:43.171000,41.5115128,36.1189537,48.792,-3.33078218,315.0,-7.709993
14:14:45.228000,41.5116348,36.11863,50.447,-3.89840651,306.0,-6.82232475
14:14:46.301000,41.5116844,36.1184578,51.453,-3.69273663,307.0,0.6119636
14:14:47.275000,41.51175,36.1183128,51.09,-2.69523525,317.0,39.43029
14:14:48.333000,41.5118,36.1182671,50.584,-3.82886481,342.0,33.3586731
14:14:49.401000,41.5119133,36.1182327,49.934,-2.18382716,0.0,26.51305
14:14:50.477000,41.5120277,36.1182632,49.561,-3.32793355,17.0,15.9740362
14:14:51.519000,41.51213,36.11833,49.115,-2.99285817,25.0,8.821867
14:14:52.495000,41.5122223,36.11841,49.618,-2.47793531,25.0,0.5574538
14:14:52.751000,41.51231,36.11849,49.952,-3.26353836,27.0,-3.41105461
14:14:53.705000,41.5124054,36.11857,50.208,-3.83128023,24.0,-3.50929832
14:14:54.780000,41.51247,36.11862,49.956,-3.81077075,22.0,-2.643371
14:14:55.850000,41.51254,36.1186676,49.81,-3.9279,21.0,-3.72477269
14:14:56.825000,41.5126343,36.1187248,49.492,-3.91125655,16.0,-3.47927737
14:14:57.903000,41.51272,36.1187668,49.339,-3.20187545,16.0,20.3267326
14:14:58.978000,41.51282,36.1188736,48.664,-2.80752063,28.0,32.7233162
14:15:00.041000,41.5128555,36.1189651,48.303,-2.17537618,50.0,31.29217
14:15:00.113000,41.51287,36.11918,48.201,-1.62202632,71.0,23.397562
14:15:01.190000,41.5128479,36.1193466,48.319,-2.23729777,83.0,15.4830875
14:15:02.165000,41.51281,36.11952,48.771,-2.74863768,91.0,6.394958
14:15:03.244000,41.51276,36.11968,49.314,-2.94569778,93.0,-0.235656679
14:15:04.303000,41.5126953,36.1198921,49.956,-3.144157,95.0,-3.3520298
14:15:05.365000,41.5126534,36.1200333,50.376,-3.57644057,94.0,-3.67859983
14:15:06.466000,41.5126,36.1202354,51.063,-4.33748,94.0,-3.78872013
14:15:06.495000,41.5125771,36.12034,51.004,-4.47658968,92.0,21.3541412
14:15:07.568000,41.5124969,36.12056,50.14,-4.09201145,112.0,44.7844467
14:15:08.634000,41.5123634,36.12069,49.375,-2.68735313,143.0,44.750988
14:15:09.701000,41.51218,36.12074,49.387,-0.924619,169.0,40.7795334
14:15:10.764000,41.51195,36.1206779,49.602,-1.43479073,193.0,23.0168781
14:15:11.832000,41.511795,36.12059,50.39,-2.049922,203.0,9.765805
14:15:12.896000,41.51165,36.12049,50.738,-3.16804862,206.0,2.41888547
14:15:13.959000,41.5115128,36.1203957,50.702,-3.95936942,206.0,-3.978488
14:15:14.928000,41.5113373,36.1202774,50.442,-1.490245,205.0,39.0070229
14:15:16.004000,41.51122,36.12015,49.795,-3.45257115,227.0,46.04633
14:15:16.981000,41.51114,36.1199722,48.979,-2.48000669,255.0,45.7607269
14:15:17.059000,41.5111237,36.11978,48.69,-0.53247267,281.0,40.6833534
14:15:18.131000,41.5111542,36.11961,48.913,-1.9706763,303.0,28.5775185
